benchmark,stage,sgf_counter,shadow_counter,depth,ghr_diff,btb_hit,issued,issued_agree,issued_differ,agree,differ,sgf_only_correct,committed_only_correct,both_correct,both_wrong
aha-mont64,8,10,01,1,1,0,1,1,0,0,0,0,0,0,0
aha-mont64,8,10,10,0,0,0,478,478,0,4,0,0,0,3,1
aha-mont64,8,10,10,0,0,1,47766,47766,0,47766,0,0,0,22708,25058
aha-mont64,8,10,10,0,1,1,4,4,0,4,0,0,0,2,2
aha-mont64,8,10,10,1,0,1,3,3,0,1,0,0,0,1,0
aha-mont64,8,10,10,1,1,1,3,3,0,1,0,0,0,1,0
aha-mont64,8,10,10,2,1,0,1,1,0,0,0,0,0,0,0
aha-mont64,8,10,11,0,1,1,2834,2834,0,2834,0,0,0,944,1890
aha-mont64,8,10,11,1,1,0,1,1,0,1,0,0,0,0,1
aha-mont64,8,10,11,1,1,1,950,950,0,947,0,0,0,1,946
aha-mont64,8,11,00,0,1,0,471,471,0,471,0,0,0,1,470
aha-mont64,8,11,00,0,1,1,3788,0,3788,0,3788,1420,2368,0,0
aha-mont64,8,11,00,1,1,0,472,472,0,472,0,0,0,0,472
aha-mont64,8,11,00,1,1,1,73496,0,73496,0,31109,30636,473,0,0
aha-mont64,8,11,00,2,1,0,473,473,0,0,0,0,0,0,0
aha-mont64,8,11,01,0,1,1,7,0,7,0,7,1,6,0,0
aha-mont64,8,11,01,1,1,0,1,1,0,0,0,0,0,0,0
aha-mont64,8,11,01,1,1,1,9999,0,9999,0,6637,6164,473,0,0
aha-mont64,8,11,01,2,1,0,1,1,0,0,0,0,0,0,0
aha-mont64,8,11,10,0,1,0,945,945,0,0,0,0,0,0,0
aha-mont64,8,11,10,0,1,1,475,475,0,475,0,0,0,473,2
aha-mont64,8,11,10,1,1,1,1980,1980,0,1454,0,0,0,981,473
aha-mont64,8,11,11,0,0,0,949,949,0,949,0,0,0,947,2
aha-mont64,8,11,11,0,0,1,95989,95989,0,95989,0,0,0,76127,19862
aha-mont64,8,11,11,0,1,1,3304,3304,0,3304,0,0,0,1416,1888
aha-mont64,8,11,11,1,0,0,1,1,0,0,0,0,0,0,0
aha-mont64,8,11,11,1,0,1,17,17,0,9,0,0,0,9,0
aha-mont64,8,11,11,1,1,1,106,106,0,40,0,0,0,40,0
bench_branch_heavy,6,00,00,0,0,0,107,107,0,104,0,0,0,100,4
bench_branch_heavy,6,00,00,0,0,1,401,401,0,374,0,0,0,297,77
bench_branch_heavy,6,00,00,0,1,1,24,24,0,24,0,0,0,22,2
bench_branch_heavy,6,00,00,1,0,0,1,1,0,1,0,0,0,0,1
bench_branch_heavy,6,00,00,1,0,1,16,16,0,15,0,0,0,12,3
bench_branch_heavy,6,00,00,1,1,0,4,4,0,4,0,0,0,4,0
bench_branch_heavy,6,00,00,1,1,1,70,70,0,54,0,0,0,32,22
bench_branch_heavy,6,00,01,0,1,0,3,3,0,3,0,0,0,3,0
bench_branch_heavy,6,00,01,0,1,1,12,12,0,12,0,0,0,5,7
bench_branch_heavy,6,00,01,1,1,0,8,8,0,5,0,0,0,4,1
bench_branch_heavy,6,00,01,1,1,1,94,94,0,71,0,0,0,55,16
bench_branch_heavy,6,00,10,0,1,1,8,0,8,0,8,2,6,0,0
bench_branch_heavy,6,00,10,1,1,0,7,7,0,4,0,0,0,4,0
bench_branch_heavy,6,00,10,1,1,1,53,0,53,0,46,43,3,0,0
bench_branch_heavy,6,00,11,0,1,1,4,0,4,0,4,1,3,0,0
bench_branch_heavy,6,00,11,1,1,0,20,20,0,20,0,0,0,20,0
bench_branch_heavy,6,00,11,1,1,1,161,0,161,0,128,116,12,0,0
bench_branch_heavy,6,01,00,0,1,0,1,1,0,0,0,0,0,0,0
bench_branch_heavy,6,01,00,0,1,1,11,11,0,11,0,0,0,7,4
bench_branch_heavy,6,01,00,1,1,1,41,41,0,38,0,0,0,17,21
bench_branch_heavy,6,01,01,0,0,0,30,30,0,23,0,0,0,17,6
bench_branch_heavy,6,01,01,0,0,1,187,187,0,119,0,0,0,66,53
bench_branch_heavy,6,01,01,0,1,0,1,1,0,1,0,0,0,1,0
bench_branch_heavy,6,01,01,0,1,1,1,1,0,1,0,0,0,1,0
bench_branch_heavy,6,01,01,1,0,1,18,18,0,18,0,0,0,14,4
bench_branch_heavy,6,01,01,1,1,0,3,3,0,3,0,0,0,3,0
bench_branch_heavy,6,01,01,1,1,1,48,48,0,39,0,0,0,22,17
bench_branch_heavy,6,01,10,0,1,1,9,0,9,0,9,4,5,0,0
bench_branch_heavy,6,01,10,1,1,0,4,4,0,3,0,0,0,3,0
bench_branch_heavy,6,01,10,1,1,1,18,0,18,0,17,16,1,0,0
bench_branch_heavy,6,01,11,0,1,1,10,0,10,0,10,2,8,0,0
bench_branch_heavy,6,01,11,1,1,0,2,2,0,2,0,0,0,2,0
bench_branch_heavy,6,01,11,1,1,1,51,0,51,0,36,21,15,0,0
bench_branch_heavy,6,10,00,0,1,1,7,0,7,0,7,2,5,0,0
bench_branch_heavy,6,10,00,1,1,1,70,0,70,0,66,44,22,0,0
bench_branch_heavy,6,10,01,0,1,1,2,0,2,0,2,2,0,0,0
bench_branch_heavy,6,10,01,1,1,1,43,0,43,0,40,20,20,0,0
bench_branch_heavy,6,10,10,0,0,0,10,10,0,8,0,0,0,8,0
bench_branch_heavy,6,10,10,0,0,1,141,141,0,72,0,0,0,47,25
bench_branch_heavy,6,10,10,0,1,0,1,1,0,1,0,0,0,1,0
bench_branch_heavy,6,10,10,0,1,1,4,4,0,4,0,0,0,3,1
bench_branch_heavy,6,10,10,1,0,0,1,1,0,1,0,0,0,1,0
bench_branch_heavy,6,10,10,1,0,1,23,23,0,22,0,0,0,8,14
bench_branch_heavy,6,10,10,1,1,0,1,1,0,1,0,0,0,1,0
bench_branch_heavy,6,10,10,1,1,1,5,5,0,3,0,0,0,1,2
bench_branch_heavy,6,10,11,0,1,1,21,21,0,21,0,0,0,16,5
bench_branch_heavy,6,10,11,1,1,0,6,6,0,4,0,0,0,4,0
bench_branch_heavy,6,10,11,1,1,1,29,29,0,28,0,0,0,12,16
bench_branch_heavy,6,11,00,0,1,1,18,0,18,0,18,1,17,0,0
bench_branch_heavy,6,11,00,1,1,1,93,0,93,0,89,41,48,0,0
bench_branch_heavy,6,11,01,0,1,1,12,0,12,0,11,8,3,0,0
bench_branch_heavy,6,11,01,1,1,0,2,2,0,2,0,0,0,2,0
bench_branch_heavy,6,11,01,1,1,1,66,0,66,0,64,34,30,0,0
bench_branch_heavy,6,11,10,0,1,0,2,2,0,2,0,0,0,2,0
bench_branch_heavy,6,11,10,0,1,1,7,7,0,7,0,0,0,5,2
bench_branch_heavy,6,11,10,1,1,1,8,8,0,8,0,0,0,6,2
bench_branch_heavy,6,11,11,0,0,0,15,15,0,12,0,0,0,10,2
bench_branch_heavy,6,11,11,0,0,1,218,218,0,206,0,0,0,188,18
bench_branch_heavy,6,11,11,0,1,1,32,32,0,32,0,0,0,21,11
bench_branch_heavy,6,11,11,1,0,1,60,60,0,60,0,0,0,56,4
bench_branch_heavy,6,11,11,1,1,0,4,4,0,4,0,0,0,4,0
bench_branch_heavy,6,11,11,1,1,1,46,46,0,43,0,0,0,31,12
bench_branch_heavy,7,00,00,0,0,0,107,107,0,107,0,0,0,103,4
bench_branch_heavy,7,00,00,0,0,1,535,535,0,535,0,0,0,462,73
bench_branch_heavy,7,00,00,0,1,1,56,56,0,56,0,0,0,54,2
bench_branch_heavy,7,00,00,1,0,0,1,1,0,1,0,0,0,0,1
bench_branch_heavy,7,00,00,1,0,1,17,17,0,16,0,0,0,14,2
bench_branch_heavy,7,00,00,1,1,0,3,3,0,3,0,0,0,3,0
bench_branch_heavy,7,00,00,1,1,1,62,62,0,62,0,0,0,38,24
bench_branch_heavy,7,00,01,0,1,0,6,6,0,3,0,0,0,3,0
bench_branch_heavy,7,00,01,0,1,1,21,21,0,4,0,0,0,0,4
bench_branch_heavy,7,00,01,1,1,0,7,7,0,7,0,0,0,6,1
bench_branch_heavy,7,00,01,1,1,1,15,15,0,15,0,0,0,9,6
bench_branch_heavy,7,00,10,0,1,1,4,0,4,0,4,1,3,0,0
bench_branch_heavy,7,00,10,1,1,0,5,5,0,5,0,0,0,5,0
bench_branch_heavy,7,00,10,1,1,1,2,0,2,0,2,2,0,0,0
bench_branch_heavy,7,00,11,0,1,1,7,0,7,0,7,2,5,0,0
bench_branch_heavy,7,00,11,1,1,0,21,21,0,21,0,0,0,21,0
bench_branch_heavy,7,00,11,1,1,1,47,0,47,0,45,25,20,0,0
bench_branch_heavy,7,01,00,0,1,1,5,5,0,5,0,0,0,3,2
bench_branch_heavy,7,01,00,1,1,1,34,34,0,34,0,0,0,14,20
bench_branch_heavy,7,01,01,0,0,0,26,26,0,25,0,0,0,19,6
bench_branch_heavy,7,01,01,0,0,1,195,195,0,123,0,0,0,81,42
bench_branch_heavy,7,01,01,0,1,0,1,1,0,1,0,0,0,1,0
bench_branch_heavy,7,01,01,0,1,1,10,10,0,6,0,0,0,1,5
bench_branch_heavy,7,01,01,1,0,1,13,13,0,12,0,0,0,8,4
bench_branch_heavy,7,01,01,1,1,0,2,2,0,2,0,0,0,2,0
bench_branch_heavy,7,01,01,1,1,1,25,25,0,22,0,0,0,11,11
bench_branch_heavy,7,01,10,0,1,1,11,0,11,0,11,4,7,0,0
bench_branch_heavy,7,01,10,1,1,0,1,1,0,1,0,0,0,1,0
bench_branch_heavy,7,01,10,1,1,1,4,0,4,0,4,3,1,0,0
bench_branch_heavy,7,01,11,0,1,1,7,0,7,0,7,0,7,0,0
bench_branch_heavy,7,01,11,1,1,0,1,1,0,1,0,0,0,1,0
bench_branch_heavy,7,01,11,1,1,1,44,0,44,0,44,28,16,0,0
bench_branch_heavy,7,10,00,0,1,1,5,0,5,0,5,3,2,0,0
bench_branch_heavy,7,10,00,1,1,1,65,0,65,0,63,44,19,0,0
bench_branch_heavy,7,10,01,0,1,1,18,0,18,0,14,9,5,0,0
bench_branch_heavy,7,10,01,1,1,1,48,0,48,0,43,23,20,0,0
